N ,L1,,Sicherung,mm^2,L2,,Sicherung,mm^2,L3,,Sicherung,mm^2
4,AE Post 005,#VALUE!,16 AB ,"2,5",Res,#VALUE!,16 AB ,"2,5",Notbeleuchtung Außen ,#VALUE!,10AB ,"1,5"
4,Res Klimagerät 308 EDK EG + Verdämpfer Dach,#VALUE!,16 AB ,"2,5","AE Arzt BKK 008,009 Beamer + Jalousie Showroom ",#VALUE!,16 AB ,"2,5",AE EDV-VT 013 Serverschrank ,#VALUE!,16 AB ,"2,5"
4,"Putzsteckdose EDV, Betreuer 013,012",0,16 AB,"2,5",Ae Empfang 002 ,#VALUE!,16 AB ,"2,5",Ae Besprechung 006 ,#VALUE!,16 AB ,"2,5"
4,Putzsteckdose Foyer ,#VALUE!,16 AB,"2,5",Datenraum Kabel 5 ,0,16 AB ,"2,5",AE Besprechung 016 Bodentank Büromat  ,#VALUE!,16 AB ,"2,5"
4,EDV VT1 Kamera EDV 308 EG ,#VALUE!,16 AB,"2,5",Putzsteckdose Flur 011 ,#VALUE!,16 AB ,"2,5",Putzsteckdose Büromaterial ,0,16 AB ,"2,5"
4,CEE Nebenverterteilung 32 A,#VALUE!,63 A / 35 A ,6,Besprechungsraum ,#VALUE!,16 AB ,"2,5","Putzsteckdose Besprechung 006,016",#VALUE!,16 AB ,"2,5"
4,CEE Nebenverteilung 16 A,#VALUE!,16 AB ,"2,5",EDV VT2 ,#VALUE!,16 AB ,"2,5",Serverschrank 2 ,#VALUE!,16 AB ,"2,5"
4,,,,,CEE Nebenverterteilung 32 A,#VALUE!,63 A / 35 A ,6,Stromsignalgeber ,#VALUE!,/,/
4,,,,,CEE Nebenverteilung 16 A,#VALUE!,16 AB ,"2,5",Zeiterfassung,#VALUE!,16 AB ,"2,5"
4,,,,,,,,,CEE Nebenverterteilung 32 A,#VALUE!,63 A / 35 A ,6
4,,,,,,,,,CEE Nebenverteilung 16 A,#VALUE!,16 AB ,"2,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
5,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
